epoch,values
1512144010.0,63.86
1512144010.0,66.52
1512144010.0,72.09
1512144020.0,85.2
1512144020.0,89.08
1512144110.0,50.79
1512144110.0,45.25
1512144110.0,47.89
1512144124.0,42.85
1512144124.0,45.54
1512144124.0,51.19
1512144310.0,65.78
1512144310.0,66.65
1512144310.0,65.7
1512144319.0,57.95
1512144320.0,58.1
1512144409.0,49.29
1512144409.0,49.18
1512144409.0,48.83
1512144424.0,59.16
1512144424.0,61.72
1512144424.0,61.3
1512144610.0,49.28
1512144610.0,54.5
1512144610.0,53.96
1512144620.0,83.11
1512144620.0,81.27
1512144710.0,62.52
1512144710.0,57.25
1512144710.0,62.24
1512144724.0,70.06
1512144724.0,60.57
1512144724.0,70.38
1512144910.0,53.42
1512144910.0,51.3
1512144910.0,81.25
1512144919.0,105.16
1512144920.0,103.79
1512145009.0,26.24
1512145009.0,22.34
1512145009.0,18.82
1512145024.0,61.73
1512145024.0,67.52
1512145024.0,61.34
1512145210.0,48.04
1512145210.0,43.76
1512145210.0,48.25
1512145220.0,55.8
1512145220.0,56.34
1512145310.0,51.93
1512145310.0,49.71
1512145310.0,54.7
1512145324.0,52.39
1512145324.0,51.95
1512145324.0,51.82
1512145509.0,40.77
1512145509.0,38.59
1512145509.0,38.46
1512145519.0,26.72
1512145519.0,31.47
1512145609.0,35.26
1512145609.0,40.3
1512145609.0,37.87
1512145623.0,48.35
1512145623.0,50.47
1512145623.0,52.88
1512145810.0,71.2
1512145810.0,72.52
1512145810.0,69.48
1512145820.0,109.59
1512145820.0,105.22
1512145910.0,83.18
1512145910.0,81.02
1512145910.0,81.23
1512145924.0,83.45
1512145924.0,73.51
1512145924.0,78.73
1512146110.0,70.6
1512146110.0,71.12
1512146110.0,72.22
1512146120.0,47.97
1512146120.0,48.26
1512146210.0,62.53
1512146210.0,57.25
1512146210.0,60.13
1512146225.0,55.51
1512146225.0,58.33
1512146225.0,58.01
1512146410.0,51.58
1512146410.0,56.43
1512146410.0,51.73
1512146420.0,44.1
1512146420.0,48.79
1512146510.0,42.39
1512146510.0,40.47
1512146510.0,41.71
1512146524.0,40.4
1512146524.0,28.53
1512146524.0,30.29
1512146710.0,41.42
1512146710.0,44.01
1512146710.0,38.89
1512146720.0,75.13
1512146720.0,70.58
1512146809.0,52.87
1512146809.0,53.12
1512146810.0,57.13
1512146824.0,77.67
1512146824.0,84.35
1512146824.0,82.95
1512147009.0,68.86
1512147009.0,59.1
1512147009.0,68.83
1512147019.0,54.4
1512147019.0,54.91
1512147109.0,59.91
1512147109.0,59.94
1512147109.0,60.38
1512147123.0,60.79
1512147123.0,70.08
1512147123.0,74.32
1512147309.0,56.24
1512147309.0,56.37
1512147310.0,55.65
1512147319.0,56.95
1512147319.0,57.1
1512147409.0,54.97
1512147409.0,60.01
1512147409.0,57.49
1512147423.0,52.61
1512147423.0,57.18
1512147424.0,47.51
1512147610.0,76.43
1512147610.0,81.87
1512147610.0,74.24
1512147620.0,127.59
1512147620.0,122.3
1512147710.0,39.67
1512147710.0,36.92
1512147710.0,40.69
1512147724.0,47.5
1512147724.0,53.7
1512147724.0,54.15
1512147909.0,41.09
1512147909.0,43.22
1512147909.0,41.09
1512147919.0,57.08
1512147919.0,56.59
1512148009.0,34.83
1512148010.0,39.8
1512148010.0,39.53
1512148024.0,46.6
1512148024.0,44.79
1512148024.0,39.74
1512148209.0,51.23
1512148209.0,56.18
1512148209.0,56.16
1512148219.0,50.03
1512148219.0,50.05
1512148309.0,45.99
1512148309.0,48.08
1512148309.0,43.62
1512148323.0,60.83
1512148323.0,63.91
1512148323.0,66.41
1512148510.0,60.88
1512148510.0,65.81
1512148510.0,64.65
1512148520.0,114.29
1512148520.0,112.97
1512148609.0,64.25
1512148609.0,71.91
1512148609.0,67.23
1512148624.0,62.61
1512148624.0,67.24
1512148624.0,69.36
1512148810.0,61.33
1512148810.0,60.87
1512148810.0,65.38
1512148819.0,45.95
1512148820.0,43.33
1512148910.0,50.33
1512148910.0,52.01
1512148910.0,50.61
1512148924.0,49.4
1512148924.0,50.25
1512148924.0,52.03
1512149110.0,58.77
1512149110.0,58.95
1512149110.0,59.52
1512149119.0,48.9
1512149119.0,50.19
1512149209.0,60.89
1512149209.0,56.21
1512149209.0,63.47
1512149224.0,72.63
1512149224.0,35.86
1512149224.0,35.77
1512149410.0,69.39
1512149410.0,68.98
1512149410.0,73.76
1512149420.0,119.21
1512149420.0,106.81
1512149510.0,60.94
1512149510.0,57.51
1512149510.0,57.15
1512149524.0,62.19
1512149524.0,65.21
1512149524.0,66.8
1512149709.0,80.51
1512149709.0,82.08
1512149709.0,84.04
1512149719.0,71.42
1512149719.0,66.29
1512149809.0,78.2
1512149809.0,81.5
1512149809.0,68.86
1512149823.0,45.73
1512149823.0,43.37
1512149823.0,43.59
1512150010.0,30.98
1512150010.0,26.51
1512150010.0,29.01
1512150020.0,50.49
1512150020.0,49.99
1512150110.0,33.51
1512150110.0,43.81
1512150110.0,37.42
1512150124.0,47.96
1512150124.0,59.15
1512150124.0,56.54
1512150310.0,69.22
1512150310.0,63.77
1512150310.0,64.25
1512150320.0,100.14
1512150320.0,95.69
1512150409.0,71.96
1512150409.0,77.89
1512150409.0,74.76
1512150424.0,79.82
1512150424.0,82.68
1512150424.0,87.39
1512150609.0,43.67
1512150609.0,41.51
1512150609.0,45.82
1512150619.0,75.63
1512150619.0,79.02
1512150709.0,59.71
1512150709.0,61.09
1512150709.0,56.7
1512150723.0,49.59
1512150723.0,50.32
1512150723.0,56.88
1512150910.0,29.76
1512150910.0,29.75
1512150910.0,26.88
1512150920.0,35.2
1512150920.0,42.34
1512151010.0,50.52
1512151010.0,40.63
1512151010.0,46.38
1512151024.0,63.27
1512151024.0,60.8
1512151024.0,60.98
1512151209.0,80.0
1512151210.0,80.13
1512151210.0,82.24
1512151219.0,62.12
1512151219.0,72.61
1512151309.0,33.26
1512151309.0,38.0
1512151309.0,30.83
1512151323.0,55.77
