epoch,values
1512144000.0,42.85
1512144900.0,18.82
1512145800.0,28.53
1512146700.0,38.89
1512147600.0,34.83
1512148500.0,35.77
1512149400.0,26.51
1512150300.0,26.88
1512151200.0,29.54
1512152100.0,24.94
1512153000.0,20.5
1512153900.0,23.6
1512154800.0,15.62
1512155700.0,24.47
1512156600.0,27.54
1512157500.0,14.84
1512158400.0,8.56
1512159300.0,8.74
1512160200.0,8.58
1512161100.0,8.35
1512162000.0,8.7
1512162900.0,8.34
1512163800.0,8.62
1512164700.0,8.12
1512165600.0,9.16
1512166500.0,8.31
1512167400.0,8.66
1512168300.0,8.8
1512169200.0,8.5
1512170100.0,8.57
1512171000.0,8.23
1512171900.0,8.61
1512172800.0,8.45
1512173700.0,8.05
1512174600.0,7.87
1512175500.0,8.0
1512176400.0,9.46
1512177300.0,8.45
1512178200.0,8.73
1512179100.0,8.72
1512180000.0,8.62
1512180900.0,7.74
1512181800.0,8.46
1512182700.0,8.07
1512183600.0,8.3
1512184500.0,8.67
1512185400.0,8.36
1512186300.0,8.5
1512187200.0,8.67
1512188100.0,8.4
1512189000.0,8.36
1512189900.0,8.69
1512190800.0,8.71
1512191700.0,8.37
1512192600.0,8.67
1512193500.0,8.11
1512194400.0,8.68
1512195300.0,8.16
1512196200.0,8.77
1512197100.0,8.29
1512198000.0,8.2
1512198900.0,8.47
1512199800.0,6.93
1512200700.0,8.54
1512201600.0,9.06
1512202500.0,8.16
1512203400.0,8.42
1512204300.0,8.88
1512205200.0,8.96
1512206100.0,9.0
1512207000.0,8.38
1512207900.0,9.64
1512208800.0,9.1
1512209700.0,7.97
1512210600.0,10.42
1512211500.0,9.69
1512212400.0,8.71
1512213300.0,9.55
1512214200.0,10.79
1512215100.0,8.02
1512216000.0,9.1
1512216900.0,9.39
1512217800.0,11.21
1512218700.0,14.87
1512219600.0,15.52
1512220500.0,33.62
1512221400.0,17.99
1512222300.0,29.16
1512223200.0,26.3
1512224100.0,23.68
1512225000.0,37.79
1512225900.0,30.52
1512226800.0,36.49
1512227700.0,36.17
1512228600.0,49.67
1512229500.0,20.96
1512230400.0,32.56
1512231300.0,16.83
1512232200.0,36.6
1512233100.0,30.35
1512234000.0,33.02
1512234900.0,48.95
1512235800.0,15.04
1512236700.0,34.96
1512237600.0,52.26
1512238500.0,34.59
1512239400.0,33.66
1512240300.0,42.0
1512241200.0,40.85
1512242100.0,27.96
1512243000.0,26.58
1512243900.0,8.99
1512244800.0,9.35
1512245700.0,8.82
1512246600.0,8.45
1512247500.0,8.59
1512248400.0,8.9
1512249300.0,8.42
1512250200.0,8.73
1512251100.0,8.05
1512252000.0,9.07
1512252900.0,8.75
1512253800.0,8.34
1512254700.0,8.22
1512255600.0,8.14
1512256500.0,8.82
1512257400.0,8.56
1512258300.0,8.13
1512259200.0,8.42
1512260100.0,7.97
1512261000.0,7.95
1512261900.0,8.13
1512262800.0,8.94
1512263700.0,8.56
1512264600.0,8.66
1512265500.0,8.17
1512266400.0,8.76
1512267300.0,7.82
1512268200.0,7.86
1512269100.0,8.19
1512270000.0,8.62
1512270900.0,7.96
1512271800.0,8.55
1512272700.0,8.4
1512273600.0,8.36
1512274500.0,8.62
1512275400.0,8.3
1512276300.0,8.33
1512277200.0,8.23
1512278100.0,8.59
1512279000.0,8.5
1512279900.0,8.72
1512280800.0,8.3
1512281700.0,7.74
1512282600.0,9.17
1512283500.0,8.69
1512284400.0,8.27
1512285300.0,8.46
1512286200.0,8.71
1512287100.0,7.83
1512288000.0,8.61
1512288900.0,8.4
1512289800.0,8.56
1512290700.0,8.21
1512291600.0,8.56
1512292500.0,8.57
1512293400.0,9.06
1512294300.0,9.05
1512295200.0,8.46
1512296100.0,9.06
1512297000.0,8.4
1512297900.0,8.69
1512298800.0,9.01
1512299700.0,11.37
1512300600.0,10.88
1512301500.0,11.4
1512302400.0,12.18
1512303300.0,29.73
1512304200.0,28.98
1512305100.0,35.45
1512306000.0,25.81
1512306900.0,32.24
1512307800.0,30.04
1512308700.0,39.34
1512309600.0,28.65
1512310500.0,51.43
1512311400.0,10.57
1512312300.0,12.77
1512313200.0,41.8
1512314100.0,44.82
1512315000.0,37.85
1512315900.0,35.54
1512316800.0,44.35
1512317700.0,37.45
1512318600.0,26.99
1512319500.0,43.72
1512320400.0,34.84
1512321300.0,38.94
1512322200.0,38.82
1512323100.0,42.77
1512324000.0,26.32
1512324900.0,31.66
1512325800.0,36.19
1512326700.0,49.7
1512327600.0,9.91
1512328500.0,13.62
1512329400.0,8.37
1512330300.0,7.95
1512331200.0,8.68
1512332100.0,8.47
1512333000.0,8.64
1512333900.0,8.5
1512334800.0,8.64
1512335700.0,8.71
1512336600.0,8.06
1512337500.0,8.36
1512338400.0,8.8
1512339300.0,8.93
1512340200.0,8.78
1512341100.0,8.55
1512342000.0,9.12
1512342900.0,13.0
1512343800.0,8.43
1512344700.0,7.97
1512345600.0,8.81
1512346500.0,8.22
1512347400.0,8.36
1512348300.0,8.38
1512349200.0,8.47
1512350100.0,8.2
1512351000.0,8.61
1512351900.0,8.54
1512352800.0,8.36
1512353700.0,8.47
1512354600.0,8.22
1512355500.0,8.68
1512356400.0,8.77
1512357300.0,8.97
1512358200.0,8.46
1512359100.0,8.89
1512360000.0,8.38
1512360900.0,8.98
1512361800.0,8.4
1512362700.0,8.19
1512363600.0,8.05
1512364500.0,8.35
1512365400.0,9.08
1512366300.0,8.23
1512367200.0,8.88
1512368100.0,8.22
1512369000.0,8.57
1512369900.0,8.52
1512370800.0,8.29
1512371700.0,8.21
1512372600.0,7.9
1512373500.0,8.08
1512374400.0,7.77
1512375300.0,7.75
1512376200.0,8.4
1512377100.0,8.71
1512378000.0,8.43
1512378900.0,8.78
1512379800.0,8.15
1512380700.0,8.83
1512381600.0,8.52
1512382500.0,7.84
1512383400.0,8.38
1512384300.0,8.56
1512385200.0,7.72
1512386100.0,8.23
1512387000.0,8.32
1512387900.0,8.25
1512388800.0,8.53
1512389700.0,8.37
1512390600.0,8.52
1512391500.0,7.96
1512392400.0,8.71
1512393300.0,9.35
1512394200.0,29.01
1512395100.0,23.9
1512396000.0,16.12
1512396900.0,36.6
1512397800.0,33.58
1512398700.0,34.96
1512399600.0,31.97
1512400500.0,39.87
1512401400.0,34.93
1512402300.0,29.16
1512403200.0,24.18
1512404100.0,25.26
1512405000.0,19.37
1512405900.0,32.26
1512406800.0,27.34
1512407700.0,37.81
1512408600.0,10.41
1512409500.0,29.27
1512410400.0,25.83
1512411300.0,39.38
1512412200.0,17.02
1512413100.0,14.57
1512414000.0,8.82
1512414900.0,9.08
1512415800.0,8.76
1512416700.0,8.59
1512417600.0,8.82
1512418500.0,9.15
1512419400.0,8.46
1512420300.0,8.19
1512421200.0,8.42
1512422100.0,8.41
1512423000.0,8.74
1512423900.0,8.57
1512424800.0,8.38
1512425700.0,8.22
1512426600.0,8.38
1512427500.0,8.68
1512428400.0,8.58
1512429300.0,8.93
1512430200.0,8.06
1512431100.0,7.95
1512432000.0,9.18
1512432900.0,8.57
1512433800.0,8.75
1512434700.0,8.2
1512435600.0,8.75
1512436500.0,8.72
1512437400.0,8.56
1512438300.0,7.77
1512439200.0,8.49
1512440100.0,8.31
1512441000.0,8.25
1512441900.0,7.87
1512442800.0,8.21
1512443700.0,7.84
1512444600.0,7.73
1512445500.0,7.85
1512446400.0,8.6
1512447300.0,8.0
1512448200.0,8.72
1512449100.0,8.48
1512450000.0,8.33
1512450900.0,8.62
1512451800.0,8.51
1512452700.0,8.2
1512453600.0,9.02
1512454500.0,8.69
1512455400.0,8.15
1512456300.0,8.42
1512457200.0,8.4
1512458100.0,8.32
1512459000.0,8.33
1512459900.0,8.12
1512460800.0,8.48
1512461700.0,8.32
1512462600.0,8.53
1512463500.0,8.81
